"Data Source","World Development Indicators",

"Last Updated Date","2017-09-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Antigua and Barbuda","ATG","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.293577969074249","","","","","","","","","","0.349299997091293","","","","","","","","","","","","","","","","","","","","0.7599999905","0.9185000062","","3.030299902","","0.76","1.141","","","0.158","","","","","","","","","","","","","","","","","",
"Australia","AUS","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","1.1","","","","","1.2","","","","","1.2","","","","","1.5","","","","","1.8","","","1.8","1.9","2","2.1","2.1","2.1","2.2","2.3","2.4","2.4","2.4","2.4","2.513","2.4","2.4","2.4","2.5","2.479","2.5","","","","2.672","","","2.885","","3.282","3.285","3.374","","","",
"Austria","AUT","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","1.2","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.5","1.5","1.5","1.5","1.6","1.6","1.7","1.7","1.8","1.8","1.9","1.9","2","2.1","2.2","2.2","2.3","2.4","2.5","2.6","2.7","2.8","2.9","3.1","3.1","3.2","3.3","3.3","3.378","","","3.66","3.794","","","4.779","4.824","4.881","4.984","5.064","5.15","",
"Azerbaijan","AZE","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","3.36209988594055","","","","","3.79949998855591","3.87719988822937","3.90619993209839","3.96350002288818","3.9899001121521","3.9172000885","3.9163999557","3.8812999725","3.9277000427","3.8961000443","3.925","3.899","3.831","3.602","3.521","3.607","3.536","","3.547","","","3.63","3.794","","3.782","3.636","3.407","3.454","3.415","3.402","","",
"Burundi","BDI","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.0102006122469902","","","","","0.0174291934818029","","","","","0.0171000007539988","","","","","0.0121999997645617","","","","","","","","","0.046900000423193","","0.0579999983310699","","","","0.0581","0.058699999","","0.056499999","","0.055","","","","","0.052","","","","0.026","","","","","","","","","","","","",
"Belgium","BEL","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","1.3","1.3","1.4","1.4","1.4","1.5","1.5","1.5","1.6","1.6","","1.5","1.6","1.7","1.8","1.9","1.9","2","2.1","2.2","2.3","2.4","2.5","2.8","2.7","2.8","2.9","3","3.1","3.2","3.3","3.3","3.4","3.4","3.5","3.5","3.6","3.7","3.7","3.8","3.9","3.9","3.9","","","2.045","2.093","","","","2.911","2.924","2.941","2.959","2.971","","",
"Benin","BEN","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.0397854261100292","","","","","0.0296296291053295","","","","","0.034400001168251","","","","","","","","","","0.0590000003576279","0.0590000003576279","","0.0750000029802322","","0.0734999999403954","","","","0.0707999989390373","0.0505000018","0.0421999991","0.0551000014","0.057","0.060800001","0.058","","","","","","","","","0.039","","","","0.06","","0.059","","0.159","0.146","","","",
"Burkina Faso","BFA","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.0110151190310717","","","","","0.0135214580222964","","","","","0.0103000001981854","","","","","","","","","","0.0182000007480383","0.0178999993950129","","0.0175000000745058","","","0.00380000006407499","","","0.028999999165535","","","","","","0.034","0.035","0.038","","","","0.04","","","0.054","","0.028","","0.032","0.045","0.046","0.038","0.047","","","","",
"Bangladesh","BGD","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","0.123074822127819","","","","","0.118699997663498","","","","","","","","","","0.12049999833107","","","","","0.153899997472763","0.144099995493889","","","","0.176699996","0.1884000003","","","","0.201","","0.2","","","","0.243","","0.264","0.273","0.3","0.308","0.32","0.333","0.345","0.354","0.374","0.389","","","","",
"Bulgaria","BGR","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","1.40472865104675","","","","","1.6666259765625","","","","","1.86329996585846","1.89579999446869","1.98489999771118","2.04159998893738","2.10150003433228","2.15210008621216","2.20490002632141","2.25789999961853","2.3206000328064","2.40759992599487","2.45959997177124","2.48429989814758","2.58829998970032","2.6875","2.75850009918213","2.86470007896423","2.95289993286133","3.02150011062622","3.0896999835968","3.13899993896484","3.1696000099","2.9793000221","3.1661000252","3.3587999344","3.3273000717","3.458","3.539","3.447","3.449","","3.399","","","3.562","","","3.66","3.665","3.635","","3.775","3.859","3.916","3.984","3.999","","",
"Bahrain","BHR","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.449664443731308","","","","","","","","","","0.428600013256073","","","","","","","","","","1.0867999792099","","","","","1.21879994869232","","","","","","1.3150000572","","0.1098999977","","","","1","","","1.017","1.068","1.092","1.071","0.994","1.07","1.033","1.025","0.989","0.96","0.934","0.925","0.933","0.929","0.939","","",
"Bahamas, The","BHS","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.495575219392776","","","","","","","","","","0.760200023651123","","","","","","","","","","0.938099980354309","","","","0.943199992179871","","","","","","1.2900999784","","","1.4457000494","","1.49","1.518","","1.076","","","","","","","","","","2.717","","","","","","","","",
"Bosnia and Herzegovina","BIH","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","1.03269994258881","1.08910000324249","1.17019999027252","1.20700001716614","1.28030002117157","1.36210000514984","1.4186999797821","1.48479998111725","1.52009999752045","1.55659997463226","1.570299983","1.5551999807","","","","","","","1.427","1.401","1.422","1.338","","1.34","","1.4179","","","","1.65","1.738","1.796","1.835","1.886","","","",
"Belarus","BLR","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","2.96160006523132","","","","","3.32850003242493","3.37520003318787","3.44539999961853","3.51239991188049","3.57620000839233","3.5604000092","3.5764000416","3.6382000446","4.0762000084","4.1424999237","4.155","4.286","4.365","4.431","4.551","4.579","4.497","4.52589255046168","4.55","4.62240181222641","4.68","4.78","4.869","4.98","3.702","3.511","3.788","3.873","3.925","4.07","","",
"Belize","BLZ","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.241625487804413","","","","","","","","","","0.341800004243851","","","","","","","","","","","","","","0.271899998188019","","0.450700014829636","","0.471599996089935","","0.6391999722","","","0.4927000105","","0.6","0.548","","","","1.015","","","","","","","","","0.768","0.828","","","","","","",
"Bermuda","BMU","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2","","1.766","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.267084449529648","","","","","0.310565620660782","","","","","0.508800029754639","","","","","0.490200012922287","","","","","","0.523299992084503","","","0.697499990463257","","","","","","0.4499999881","","","0.4259000123","","0.34","","1.299","","","","1.216","","","","","","0.336","","","0.444","0.473","","","","","",
"Brazil","BRA","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.373924285173416","","","","","0.399831622838974","","","","","0.49219998717308","","","","","0.624400019645691","","","","","","0.767099976539612","","","0.926699995994568","1.46689999103546","","","1.18529999256134","","1.076","0.998","1.132","1.16","1.189","1.219","1.25","1.286","1.27","1.367","1.127","1.38","1.406","1.46","1.569","1.645","1.678","1.707","1.755","1.791","1.787","1.821","","1.852","","","",
"Barbados","BRB","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.329432159662247","","","","","","","","","","0.522599995136261","","","","","","","","","","","","","","0.890699982643127","","","","","","1.1395000219","","","1.2539999485","","1.351","","","","1.21","1.353","1.552","","","","1.785","","","","","1.811","","","","","","",
"Brunei Darussalam","BRN","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.14634145796299","","","","","","","","","","0.300000011920929","","","","","","","","","","0.43520000576973","0.486799985170364","","","0.533800005912781","","","","","","","0.7462000251","","","","","0.848","","","","1.016","","1.165","","1.302","1.078","1.084","1.05","1.481","1.15","1.431","1.522","1.47","","","","",
"Bhutan","BTN","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","0.124600000679493","0.10249999910593","","","","","","","","0.3332999945","","","","0.1703999937","0.16","","","","0.051","","","","","0.186","","","0.211","0.246","","0.023","","0.261","","0.258","","",
"Botswana","BWA","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.0416666679084301","","","","","0.0364166051149368","","","","","0.0644000023603439","","","","","0.133100003004074","","","","","0.122500002384186","0.134200006723404","","0.143900007009506","","","","","0.200499996542931","0.194100007414818","","","","0.1941000074","0.2380000055","","","","0.253","0.297","0.287","0.289","0.3","0.291","0.389","0.25","0.312","","0.338","0.345","0.336","","0.384","","","","",
"Central African Republic","CAF","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.0202086046338081","","","","","0.0304114483296871","","","","","0.0227000005543232","","","","","","","","","","0.0428000018000603","0.0438000001013279","0.0425999984145164","","","","","","","0.0390000008046627","0.0384000018","","","0.0551999994","","0.035","","","","","","","","","0.083","","","","0.04","0.047","","","","","","","",
"Canada","CAN","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","1.1","1.2","1.3","1.3","1.3","1.3","1.3","1.3","1.4","1.4","1.5","1.6","1.6","1.6","1.7","1.7","1.7","1.8","1.8","1.8","1.8","1.9","1.9","1.9","2","2","2.1","2.1","2.1","2.1","2.1","2.1","2.2","2.1","2.1","2.1","2.1","1.863","2.1","","1.889","1.899","","1.899","","1.911","","1.961","","2.041","","2.477","","","","",
"Central Europe and the Baltics","CEB","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.43952393243908","","","","","","","","","","2.63648932423387","","","","","","","","","","","","2.90527125713898","","","","",
"Switzerland","CHE","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.4","1.5","1.5","1.6","1.6","1.7","1.8","1.9","2","2.1","2.2","2.4","2.5","2.6","2.6","2.6","2.6","2.7","2.8","2.9","3","2.9","3","3","3","3.1","3.1","3.2","3.2","3.3","3.3","3.4","3.5","3.5","3.615","","","","3.97","","","","3.806","3.826","3.903","4.025","4.114","","",
"Channel Islands","CHI","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","1.01923072338104","","","","","","","","","","1.20000004768372","","","","","","","","","","1.45739996433258","1.52240002155304","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.558622479438782","","","","","0.472701817750931","","","","","0.463499993085861","","","","","","","","","0.51639997959137","","","","","0.816799998283386","","","","","","1.1000000238","1.0663000345","1.006","","1.1030000448","1.08","","","1.153","","","","0.9","0.954","0.991","0.986","1.045","1.041","1.043","1.033","","","","","","","",
"China","CHN","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","1.07000005245209","0.959999978542328","0.939999997615814","0.910000026226044","0.879999995231628","0.860000014305115","0.850000023841858","0.860000014305115","0.889999985694885","0.920000016689301","0.959999978542328","1","1.02999997138977","1.08000004291534","1.12000000476837","1.17999994754791","1.25","1.29999995231628","1.32000005245209","1.33000004291534","1.3400000333786","1.35000002384186","1.37000000476837","1.47000002861023","1.53999996185303","1.123","1.5499999523","1.5499999523","1.5499999523","1.5800000429","1.179","1.185","1.2","1.199","1.23","1.255","1.055","1.133","","","","","","","1.421","1.463","1.49","1.94","","","","",
"Cote d'Ivoire","CIV","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.0325482934713364","","","","","0.0481555126607418","","","","","0.0644000023603439","","","","","","","","","","","","","","","0.0706000030040741","","","","","0.0877000019","","","","","","0.09","","","","","","","","0.117","0.094","","","0.143","","0.144","","","","","","",
"Cameroon","CMR","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.0337990932166576","","","","","0.0370622240006924","","","","","0.034000001847744","","","","","0.0719999969005585","","","","0.0710999965667725","","","","","","","","","","0.0838000029325485","0.0824000016","","0.0837000012","0.0728999972","","","0.074","","","","","","","","0.177","0.058","","0.069","","0.067","0.083","","","","","","",
"Congo, Dem. Rep.","COD","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.0145437940955162","","","","","0.0284200925379992","","","","","0.035300001502037","","","","","0.0357000008225441","","","","0.0728000029921532","","","","","","","","0.0746999979019165","","","0.0661000013","","","","","","0.069","","","","","","","","0.107","","","","","0.091","","","","","","","",
"Congo, Rep.","COG","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.0597166009247303","","","","","0.0675067529082298","","","","","0.100599996745586","","","","","","","","0.173800006508827","","","","0.118900001049042","","","0.252099990844727","0.252499997615814","","","","0.2761000097","","","","","0.251","","","0.73","","","","","","0.222","","0.217","0.108","","","0.095","","","","","","",
"Colombia","COL","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.354155540466309","","","","","0.37746924161911","","","","","0.419699996709824","","","","","","","0.478399991989136","","","","","","","0.758400022983551","","0.807799994945526","","0.873099982738495","","0.98","1.026","1.07","1.112","1.14","","1.199","1.233","1.268","1.3","","","1.413","","","1.451","1.474","1.497","1.521","1.544","1.568","","","","","","",
"Comoros","COM","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","0.0838999971747398","","","","0.163499996066093","","0.1133999974","","0.1274999976","","","","","0.074","","","","","","","0.19","","","","","","","","","","","","",
"Cabo Verde","CPV","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.0765306130051613","","","","","","","","","","0.0824000015854836","","","","","","","","","","0.176499992609024","","","0.19990000128746","","","0.329499989748001","","0.341500014066696","","","","0.233799994","","","","0.171","","","","","","","","0.493","","0.253","0.283","0.287","0.267","0.341","0.309","","","","","",
"Costa Rica","CRI","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.391118705272675","","","","","0.517096996307373","","","","","0.614300012588501","","","","","","","","","0.679499983787537","","","","","0.989600002765656","","","0.96780002117157","0.880599975585938","","1.2599999905","","","0.8826000094","0.8453999758","0.854","0.864","0.872","0.901","1.719","1.326","","","","","","","","","","","","","1.15","","","",
"Caribbean small states","CSS","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.614140421953217","","","","","","","","","","","","","","","","","","","","","","0.771787803497589","","","","",
"Cuba","CUB","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.946170389652252","","","","","0.875806033611298","","","","","0.821600019931793","","","","","","","","","","","1.38789999485016","","","1.88610005378723","","","","2.99990010261536","","3.656","3.998","4.365","4.727","4.981","5.211","5.489","5.693","5.749","5.854","5.937","5.948","5.997","6.065","6.202","6.269","6.34","6.418","6.603","6.628","6.766","6.943","7.235","7.366","7.519","","",
"Curacao","CUW","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.7000000477","","","","","1.7","","1.939","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.682373464107513","","","","","","","","","","0.801599979400635","","","","","","","","","","0.916499972343445","0.972500026226044","","","","","1.39300000667572","1.38030004501343","","","1.564","","","","","1.879","2.55","","","2.119","","","","","","","","2.016","2.059","2.121","2.174","2.265","2.308","2.412","2.496","","",
"Czech Republic","CZE","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","1.8","1.9","1.9","1.9","2","2","2.1","2.1","2.1","2.2","2.3","2.3","2.4","2.5","2.5","2.6","2.6","2.6","2.7","2.7","2.7","2.7","2.7","2.9","2.9","3","3","3.1","3","3.1","3.4","3.4","3.5","3.513","","","3.58","3.61","3.625","","3.585","3.624","3.663","3.677","","","",
"Germany","DEU","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8","2.8","2.9","3","3.1","3.1","3.1","3.2","3.2","3.3","3.3","3.3","3.369","","","3.44","3.483","3.531","","3.775","3.87","3.944","4.039","4.125","","",
"Djibouti","DJI","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.156626507639885","","","","","","","","","","0.283899992704391","","","","","","","","","","","0.223700001835823","","","0.238499999046326","","","","","","0.162499994","","","","","0.191","0.14","","","0.131","","","","","0.168","0.18","0.234","","","","0.229","","","","0.229","","",
"Dominica","DMA","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.132669985294342","","","","","","","","","","0.160799995064735","","","","","","","","","","","","","","0.338600009679794","","","","","","0.4600000083","0.5278000236","","","","0.47","0.493","0.537","","","","1.78","","","","","","","","","","","","","","","",
"Denmark","DNK","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","1.8","1.8","2","2.1","2.3","2.3","2.3","2.3","2.4","2.5","2.5","2.4","2.6","2.6","2.898","2.903","2.6","2.916","2.8","","","3.66","2.925","3.001","3.045","3.202","3.163","3.419","3.395","3.403","3.582","3.622","3.652","3.648","","","",
"Dominican Republic","DOM","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.121324673295021","","","","","0.588281631469727","","","","","","","","","","0.435000002384186","","","","","","","","","0.564400017261505","","","","1.07389998435974","","1.4900000095","","","1.0539000034","","1.5","","2.156","","","1.83","","","","","","","","1.078","","","1.494","","","","","",
"Algeria","DZA","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.173148155212402","","","","","0.116413652896881","","","","","0.123499996960163","","","","","","","","","0.380100011825562","","","","","0.427100002765656","","","","0.428799986839294","","0.9416000247","","","0.82099998","","0.846","","","1","","","","1.106","","","1.021","","1.192","","","1.207","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.864110500570974","","","","","","","","","","0.987292052463947","","","","","","","","","","","","1.55596448303075","","","","",
"Early-demographic dividend","EAR","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.872126298460802","","","","","","","","","","0.73439718252937","","","","","","","","","","","","0.860428343793399","","","","",
"East Asia & Pacific","EAS","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.940421173636718","","","","","","","","","","1.07957456347058","","","","","","","","","","","","1.64014849612402","","","","",
"Europe & Central Asia (excluding high income)","ECA","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.32310323963426","","","","","","","","","","3.15853429016124","","","","","","","","","","","","2.81340205480698","","","","",
"Europe & Central Asia","ECS","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.01576264411697","","","","","","","","","","3.20568347129428","","","","","","","","","","","","3.22918354195158","","","","",
"Ecuador","ECU","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.395584583282471","","","","","0.334564536809921","","","","","0.348399996757507","","","","","0.351200014352798","","0.637000024318695","","","","","","","1.24430000782013","","","","","","0.958","1.167","1.201","1.109","1.275","1.247","1.317","1.33","1.317","1.377","1.452","1.551","1.575","1.506","","","","","","1.607","1.687","1.665","","","","","",
"Egypt, Arab Rep.","EGY","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.391327828168869","","","","","0.434788525104523","","","","","0.52700001001358","","","","","0.535899996757507","","","","","1.0654000043869","1.36380004882813","1.36539995670319","","","","1.30359995365143","","","","0.7595000267","","","","1.8400000334","","2.02","1.6","","","2.118","","","0.533","","2.401","","2.604","","2.804","2.83","","","","0.814","","",
"Euro area","EMU","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.03668877715506","","","","","","","","","","3.68826445082951","","","","","","","","","","","","3.83263021177111","","","","",
"Eritrea","ERI","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0188999996","","","0.03","","","","","","","","0.053","","","","","","","","","","","","",
"Spain","ESP","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.795","3.902","3.962","4.031","4.089","4.09","4.152","4.206","4.271","4.33","4.393","4.376","4.446","4.489","4.51","4.541","4.56","4.603","4.67","4.731","3.756","3.838","3.835","3.824","3.819","","",
"Estonia","EST","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","2.93799996376038","","","","","3.35019993782043","3.40799999237061","3.48399996757507","3.48539996147156","3.49009990692139","3.5037999153","3.5355000496","3.263999939","3.2072000504","3.2000000477","3.191","3.148","3.114","3.11","3.206","4.373","3.16","","","","","3.33","","3.409","","3.242","3.292","3.28","3.277","3.316","","",
"Ethiopia","ETH","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.00878310110419989","","","","","0.0142469201236963","","","","","0.0115999998524785","","","","","0.0115999998524785","","","","","0.0113000003620982","0.0113000003620982","","","0.012699999846518","","","","0.030799999833107","","","","","","0.0285","","0.025","0.023","0.021","0.02","0.021","0.028","0.029","0.027","0.027","0.032","0.027","0.022","0.025","0.025","0.022","","","","","","",
"European Union","EUU","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.66200787897739","","","","","","","","","","3.17213698219732","","","","","","","","","","","","3.52544817096937","","","","",
"Fragile and conflict affected situations","FCS","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.195156126314549","","","","","","","","","","0.347269593449831","","","","","","","","","","","","0.613032085993557","","","","",
"Finland","FIN","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2.1","2.1","2.2","2.2","2.3","2.4","2.4","2.5","2.6","2.6","3.162","2.6","","","3.3","3.319","2.735","2.881","2.986","2.982","3.001","3.009","","","",
"Fiji","FJI","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.494923859834671","","","","","","","","","","0.471199989318848","","","","","0.475699990987778","","","","","0.447899997234344","","0.493900001049042","","","","","","","0.35809999704361","","","0.472299993","","0.3763000071","","","0.476","0.357","0.336","","","","0.465","","","","","0.4","0.437","0.426","","","","","","",
"France","FRA","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","1.2","1.3","1.3","1.4","1.4","1.5","1.5","1.6","1.7","1.8","1.9","2","2.1","2.1","2.5","2.7","2.8","2.8","2.9","3","3.1","3.067","","","","","3.225","","","","","","","","","","","3.674","","","","3.16","3.175","3.187","3.215","3.227","",
"Faroe Islands","FRO","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4508000016","","","","","","0.573","0.596","","","0.562","","0.584","","","0.613","0.192","0.177","","","","","","",
"Gabon","GAB","Physicians (per 1,000 people)","SH.MED.PHYS.ZS","0.117283947765827","","","","","","","","","","0.190500006079674","","","","","","","","","","","0.457199990749359","","0.433400005102158","","0.518100023269653","","","0.245700001716614","0.494199991226196","","0.193","","0.218","0.262","0.295","","","","","","","","","0.293","","","","","","","","","","","","",
