location,data_source,type,case,week_of_year,new_cases
PORT LOKO,situationreport,new,confirmed,2014-W01,NA
PORT LOKO,situationreport,new,probable,2014-W01,NA
PORT LOKO,patientdatabase,new,confirmed,2014-W01,NA
PORT LOKO,patientdatabase,new,probable,2014-W01,NA
PUJEHUN,situationreport,new,confirmed,2014-W01,NA
PUJEHUN,situationreport,new,probable,2014-W01,NA
PUJEHUN,patientdatabase,new,confirmed,2014-W01,NA
PUJEHUN,patientdatabase,new,probable,2014-W01,NA
TONKOLILI,situationreport,new,confirmed,2014-W01,NA
TONKOLILI,situationreport,new,probable,2014-W01,NA
TONKOLILI,patientdatabase,new,confirmed,2014-W01,NA
TONKOLILI,patientdatabase,new,probable,2014-W01,NA
WESTERN AREA RURAL,situationreport,new,confirmed,2014-W01,NA
WESTERN AREA RURAL,situationreport,new,probable,2014-W01,NA
WESTERN AREA RURAL,patientdatabase,new,confirmed,2014-W01,NA
WESTERN AREA RURAL,patientdatabase,new,probable,2014-W01,NA
WESTERN AREA URBAN,situationreport,new,confirmed,2014-W01,NA
WESTERN AREA URBAN,situationreport,new,probable,2014-W01,NA
WESTERN AREA URBAN,patientdatabase,new,confirmed,2014-W01,NA
WESTERN AREA URBAN,patientdatabase,new,probable,2014-W01,NA
BO,situationreport,new,confirmed,2014-W02,NA
BO,situationreport,new,probable,2014-W02,NA
BO,patientdatabase,new,confirmed,2014-W02,NA
BO,patientdatabase,new,probable,2014-W02,NA
BOMBALI,situationreport,new,confirmed,2014-W02,NA
BOMBALI,situationreport,new,probable,2014-W02,NA
BOMBALI,patientdatabase,new,confirmed,2014-W02,NA
BOMBALI,patientdatabase,new,probable,2014-W02,NA
BONTHE,situationreport,new,confirmed,2014-W02,NA
BONTHE,situationreport,new,probable,2014-W02,NA
BONTHE,patientdatabase,new,confirmed,2014-W02,NA
BONTHE,patientdatabase,new,probable,2014-W02,NA
KAILAHUN,situationreport,new,confirmed,2014-W02,NA
KAILAHUN,situationreport,new,probable,2014-W02,NA
KAILAHUN,patientdatabase,new,confirmed,2014-W02,NA
KAILAHUN,patientdatabase,new,probable,2014-W02,NA
KAMBIA,situationreport,new,confirmed,2014-W02,NA
KAMBIA,situationreport,new,probable,2014-W02,NA
KAMBIA,patientdatabase,new,confirmed,2014-W02,NA
KAMBIA,patientdatabase,new,probable,2014-W02,NA
KENEMA,situationreport,new,confirmed,2014-W02,NA
KENEMA,situationreport,new,probable,2014-W02,NA
KENEMA,patientdatabase,new,confirmed,2014-W02,NA
KENEMA,patientdatabase,new,probable,2014-W02,NA
KOINADUGU,situationreport,new,confirmed,2014-W02,NA
KOINADUGU,situationreport,new,probable,2014-W02,NA
KOINADUGU,patientdatabase,new,confirmed,2014-W02,NA
KOINADUGU,patientdatabase,new,probable,2014-W02,NA
KONO,situationreport,new,confirmed,2014-W02,NA
KONO,situationreport,new,probable,2014-W02,NA
KONO,patientdatabase,new,confirmed,2014-W02,NA
KONO,patientdatabase,new,probable,2014-W02,NA
MOYAMBA,situationreport,new,confirmed,2014-W02,NA
MOYAMBA,situationreport,new,probable,2014-W02,NA
MOYAMBA,patientdatabase,new,confirmed,2014-W02,NA
MOYAMBA,patientdatabase,new,probable,2014-W02,NA
PORT LOKO,situationreport,new,confirmed,2014-W02,NA
PORT LOKO,situationreport,new,probable,2014-W02,NA
PORT LOKO,patientdatabase,new,confirmed,2014-W02,NA
PORT LOKO,patientdatabase,new,probable,2014-W02,NA
PUJEHUN,situationreport,new,confirmed,2014-W02,NA
PUJEHUN,situationreport,new,probable,2014-W02,NA
PUJEHUN,patientdatabase,new,confirmed,2014-W02,NA
PUJEHUN,patientdatabase,new,probable,2014-W02,NA
TONKOLILI,situationreport,new,confirmed,2014-W02,NA
TONKOLILI,situationreport,new,probable,2014-W02,NA
TONKOLILI,patientdatabase,new,confirmed,2014-W02,NA
TONKOLILI,patientdatabase,new,probable,2014-W02,NA
WESTERN AREA RURAL,situationreport,new,confirmed,2014-W02,NA
WESTERN AREA RURAL,situationreport,new,probable,2014-W02,NA
WESTERN AREA RURAL,patientdatabase,new,confirmed,2014-W02,NA
WESTERN AREA RURAL,patientdatabase,new,probable,2014-W02,NA
WESTERN AREA URBAN,situationreport,new,confirmed,2014-W02,NA
WESTERN AREA URBAN,situationreport,new,probable,2014-W02,NA
WESTERN AREA URBAN,patientdatabase,new,confirmed,2014-W02,NA
WESTERN AREA URBAN,patientdatabase,new,probable,2014-W02,NA
BO,situationreport,new,confirmed,2014-W03,NA
BO,situationreport,new,probable,2014-W03,NA
BO,patientdatabase,new,confirmed,2014-W03,NA
BO,patientdatabase,new,probable,2014-W03,NA
BOMBALI,situationreport,new,confirmed,2014-W03,NA
BOMBALI,situationreport,new,probable,2014-W03,NA
BOMBALI,patientdatabase,new,confirmed,2014-W03,NA
BOMBALI,patientdatabase,new,probable,2014-W03,NA
BONTHE,situationreport,new,confirmed,2014-W03,NA
BONTHE,situationreport,new,probable,2014-W03,NA
BONTHE,patientdatabase,new,confirmed,2014-W03,NA
BONTHE,patientdatabase,new,probable,2014-W03,NA
KAILAHUN,situationreport,new,confirmed,2014-W03,NA
KAILAHUN,situationreport,new,probable,2014-W03,NA
KAILAHUN,patientdatabase,new,confirmed,2014-W03,NA
KAILAHUN,patientdatabase,new,probable,2014-W03,NA
KAMBIA,situationreport,new,confirmed,2014-W03,NA
KAMBIA,situationreport,new,probable,2014-W03,NA
KAMBIA,patientdatabase,new,confirmed,2014-W03,NA
KAMBIA,patientdatabase,new,probable,2014-W03,NA
KENEMA,situationreport,new,confirmed,2014-W03,NA
KENEMA,situationreport,new,probable,2014-W03,NA
KENEMA,patientdatabase,new,confirmed,2014-W03,NA
KENEMA,patientdatabase,new,probable,2014-W03,NA
KOINADUGU,situationreport,new,confirmed,2014-W03,NA
KOINADUGU,situationreport,new,probable,2014-W03,NA
KOINADUGU,patientdatabase,new,confirmed,2014-W03,NA
KOINADUGU,patientdatabase,new,probable,2014-W03,NA
KONO,situationreport,new,confirmed,2014-W03,NA
KONO,situationreport,new,probable,2014-W03,NA
KONO,patientdatabase,new,confirmed,2014-W03,NA
KONO,patientdatabase,new,probable,2014-W03,NA
MOYAMBA,situationreport,new,confirmed,2014-W03,NA
MOYAMBA,situationreport,new,probable,2014-W03,NA
MOYAMBA,patientdatabase,new,confirmed,2014-W03,NA
MOYAMBA,patientdatabase,new,probable,2014-W03,NA
PORT LOKO,situationreport,new,confirmed,2014-W03,NA
PORT LOKO,situationreport,new,probable,2014-W03,NA
PORT LOKO,patientdatabase,new,confirmed,2014-W03,NA
PORT LOKO,patientdatabase,new,probable,2014-W03,NA
PUJEHUN,situationreport,new,confirmed,2014-W03,NA
PUJEHUN,situationreport,new,probable,2014-W03,NA
PUJEHUN,patientdatabase,new,confirmed,2014-W03,NA
PUJEHUN,patientdatabase,new,probable,2014-W03,NA
TONKOLILI,situationreport,new,confirmed,2014-W03,NA
TONKOLILI,situationreport,new,probable,2014-W03,NA
TONKOLILI,patientdatabase,new,confirmed,2014-W03,NA
TONKOLILI,patientdatabase,new,probable,2014-W03,NA
WESTERN AREA RURAL,situationreport,new,confirmed,2014-W03,NA
WESTERN AREA RURAL,situationreport,new,probable,2014-W03,NA
WESTERN AREA RURAL,patientdatabase,new,confirmed,2014-W03,NA
WESTERN AREA RURAL,patientdatabase,new,probable,2014-W03,NA
WESTERN AREA URBAN,situationreport,new,confirmed,2014-W03,NA
WESTERN AREA URBAN,situationreport,new,probable,2014-W03,NA
WESTERN AREA URBAN,patientdatabase,new,confirmed,2014-W03,NA
WESTERN AREA URBAN,patientdatabase,new,probable,2014-W03,NA
BO,situationreport,new,confirmed,2014-W04,NA
BO,situationreport,new,probable,2014-W04,NA
BO,patientdatabase,new,confirmed,2014-W04,NA
BO,patientdatabase,new,probable,2014-W04,NA
BOMBALI,situationreport,new,confirmed,2014-W04,NA
BOMBALI,situationreport,new,probable,2014-W04,NA
BOMBALI,patientdatabase,new,confirmed,2014-W04,NA
BOMBALI,patientdatabase,new,probable,2014-W04,NA
BONTHE,situationreport,new,confirmed,2014-W04,NA
BONTHE,situationreport,new,probable,2014-W04,NA
BONTHE,patientdatabase,new,confirmed,2014-W04,NA
BONTHE,patientdatabase,new,probable,2014-W04,NA
KAILAHUN,situationreport,new,confirmed,2014-W04,NA
KAILAHUN,situationreport,new,probable,2014-W04,NA
KAILAHUN,patientdatabase,new,confirmed,2014-W04,NA
KAILAHUN,patientdatabase,new,probable,2014-W04,NA
KAMBIA,situationreport,new,confirmed,2014-W04,NA
KAMBIA,situationreport,new,probable,2014-W04,NA
KAMBIA,patientdatabase,new,confirmed,2014-W04,NA
KAMBIA,patientdatabase,new,probable,2014-W04,NA
KENEMA,situationreport,new,confirmed,2014-W04,NA
KENEMA,situationreport,new,probable,2014-W04,NA
KENEMA,patientdatabase,new,confirmed,2014-W04,NA
KENEMA,patientdatabase,new,probable,2014-W04,NA
KOINADUGU,situationreport,new,confirmed,2014-W04,NA
KOINADUGU,situationreport,new,probable,2014-W04,NA
KOINADUGU,patientdatabase,new,confirmed,2014-W04,NA
KOINADUGU,patientdatabase,new,probable,2014-W04,NA
KONO,situationreport,new,confirmed,2014-W04,NA
KONO,situationreport,new,probable,2014-W04,NA
KONO,patientdatabase,new,confirmed,2014-W04,NA
KONO,patientdatabase,new,probable,2014-W04,NA
MOYAMBA,situationreport,new,confirmed,2014-W04,NA
MOYAMBA,situationreport,new,probable,2014-W04,NA
MOYAMBA,patientdatabase,new,confirmed,2014-W04,NA
MOYAMBA,patientdatabase,new,probable,2014-W04,NA
PORT LOKO,situationreport,new,confirmed,2014-W04,NA
PORT LOKO,situationreport,new,probable,2014-W04,NA
PORT LOKO,patientdatabase,new,confirmed,2014-W04,NA
PORT LOKO,patientdatabase,new,probable,2014-W04,NA
PUJEHUN,situationreport,new,confirmed,2014-W04,NA
PUJEHUN,situationreport,new,probable,2014-W04,NA
PUJEHUN,patientdatabase,new,confirmed,2014-W04,NA
PUJEHUN,patientdatabase,new,probable,2014-W04,NA
TONKOLILI,situationreport,new,confirmed,2014-W04,NA
TONKOLILI,situationreport,new,probable,2014-W04,NA
TONKOLILI,patientdatabase,new,confirmed,2014-W04,NA
TONKOLILI,patientdatabase,new,probable,2014-W04,NA
WESTERN AREA RURAL,situationreport,new,confirmed,2014-W04,NA
WESTERN AREA RURAL,situationreport,new,probable,2014-W04,NA
WESTERN AREA RURAL,patientdatabase,new,confirmed,2014-W04,NA
WESTERN AREA RURAL,patientdatabase,new,probable,2014-W04,NA
WESTERN AREA URBAN,situationreport,new,confirmed,2014-W04,NA
WESTERN AREA URBAN,situationreport,new,probable,2014-W04,NA
WESTERN AREA URBAN,patientdatabase,new,confirmed,2014-W04,NA
WESTERN AREA URBAN,patientdatabase,new,probable,2014-W04,NA
BO,situationreport,new,confirmed,2014-W05,NA
BO,situationreport,new,probable,2014-W05,NA
BO,patientdatabase,new,confirmed,2014-W05,NA
BO,patientdatabase,new,probable,2014-W05,NA
BOMBALI,situationreport,new,confirmed,2014-W05,NA
BOMBALI,situationreport,new,probable,2014-W05,NA
BOMBALI,patientdatabase,new,confirmed,2014-W05,NA
BOMBALI,patientdatabase,new,probable,2014-W05,NA
BONTHE,situationreport,new,confirmed,2014-W05,NA
BONTHE,situationreport,new,probable,2014-W05,NA
BONTHE,patientdatabase,new,confirmed,2014-W05,NA
BONTHE,patientdatabase,new,probable,2014-W05,NA
KAILAHUN,situationreport,new,confirmed,2014-W05,NA
KAILAHUN,situationreport,new,probable,2014-W05,NA
KAILAHUN,patientdatabase,new,confirmed,2014-W05,NA
KAILAHUN,patientdatabase,new,probable,2014-W05,NA
KAMBIA,situationreport,new,confirmed,2014-W05,NA
KAMBIA,situationreport,new,probable,2014-W05,NA
KAMBIA,patientdatabase,new,confirmed,2014-W05,NA
KAMBIA,patientdatabase,new,probable,2014-W05,NA
KENEMA,situationreport,new,confirmed,2014-W05,NA
KENEMA,situationreport,new,probable,2014-W05,NA
KENEMA,patientdatabase,new,confirmed,2014-W05,NA
KENEMA,patientdatabase,new,probable,2014-W05,NA
KOINADUGU,situationreport,new,confirmed,2014-W05,NA
KOINADUGU,situationreport,new,probable,2014-W05,NA
KOINADUGU,patientdatabase,new,confirmed,2014-W05,NA
KOINADUGU,patientdatabase,new,probable,2014-W05,NA
KONO,situationreport,new,confirmed,2014-W05,NA
KONO,situationreport,new,probable,2014-W05,NA
KONO,patientdatabase,new,confirmed,2014-W05,NA
KONO,patientdatabase,new,probable,2014-W05,NA
MOYAMBA,situationreport,new,confirmed,2014-W05,NA
MOYAMBA,situationreport,new,probable,2014-W05,NA
MOYAMBA,patientdatabase,new,confirmed,2014-W05,NA
MOYAMBA,patientdatabase,new,probable,2014-W05,NA
PORT LOKO,situationreport,new,confirmed,2014-W05,NA
PORT LOKO,situationreport,new,probable,2014-W05,NA
PORT LOKO,patientdatabase,new,confirmed,2014-W05,NA
PORT LOKO,patientdatabase,new,probable,2014-W05,NA
PUJEHUN,situationreport,new,confirmed,2014-W05,NA
PUJEHUN,situationreport,new,probable,2014-W05,NA
PUJEHUN,patientdatabase,new,confirmed,2014-W05,NA
PUJEHUN,patientdatabase,new,probable,2014-W05,NA
TONKOLILI,situationreport,new,confirmed,2014-W05,NA
TONKOLILI,situationreport,new,probable,2014-W05,NA
TONKOLILI,patientdatabase,new,confirmed,2014-W05,NA
TONKOLILI,patientdatabase,new,probable,2014-W05,NA
WESTERN AREA RURAL,situationreport,new,confirmed,2014-W05,NA
WESTERN AREA RURAL,situationreport,new,probable,2014-W05,NA
WESTERN AREA RURAL,patientdatabase,new,confirmed,2014-W05,NA
WESTERN AREA RURAL,patientdatabase,new,probable,2014-W05,NA
WESTERN AREA URBAN,situationreport,new,confirmed,2014-W05,NA
WESTERN AREA URBAN,situationreport,new,probable,2014-W05,NA
WESTERN AREA URBAN,patientdatabase,new,confirmed,2014-W05,NA
WESTERN AREA URBAN,patientdatabase,new,probable,2014-W05,NA
BO,situationreport,new,confirmed,2014-W06,NA
BO,situationreport,new,probable,2014-W06,NA
BO,patientdatabase,new,confirmed,2014-W06,NA
BO,patientdatabase,new,probable,2014-W06,NA
BOMBALI,situationreport,new,confirmed,2014-W06,NA
BOMBALI,situationreport,new,probable,2014-W06,NA
BOMBALI,patientdatabase,new,confirmed,2014-W06,NA
BOMBALI,patientdatabase,new,probable,2014-W06,NA
BONTHE,situationreport,new,confirmed,2014-W06,NA
BONTHE,situationreport,new,probable,2014-W06,NA
BONTHE,patientdatabase,new,confirmed,2014-W06,NA
BONTHE,patientdatabase,new,probable,2014-W06,NA
KAILAHUN,situationreport,new,confirmed,2014-W06,NA
KAILAHUN,situationreport,new,probable,2014-W06,NA
KAILAHUN,patientdatabase,new,confirmed,2014-W06,NA
KAILAHUN,patientdatabase,new,probable,2014-W06,NA
KAMBIA,situationreport,new,confirmed,2014-W06,NA
KAMBIA,situationreport,new,probable,2014-W06,NA
KAMBIA,patientdatabase,new,confirmed,2014-W06,NA
KAMBIA,patientdatabase,new,probable,2014-W06,NA
KENEMA,situationreport,new,confirmed,2014-W06,NA
KENEMA,situationreport,new,probable,2014-W06,NA
KENEMA,patientdatabase,new,confirmed,2014-W06,NA
KENEMA,patientdatabase,new,probable,2014-W06,NA
KOINADUGU,situationreport,new,confirmed,2014-W06,NA
KOINADUGU,situationreport,new,probable,2014-W06,NA
KOINADUGU,patientdatabase,new,confirmed,2014-W06,NA
KOINADUGU,patientdatabase,new,probable,2014-W06,NA
KONO,situationreport,new,confirmed,2014-W06,NA
KONO,situationreport,new,probable,2014-W06,NA
KONO,patientdatabase,new,confirmed,2014-W06,NA
KONO,patientdatabase,new,probable,2014-W06,NA
MOYAMBA,situationreport,new,confirmed,2014-W06,NA
MOYAMBA,situationreport,new,probable,2014-W06,NA
MOYAMBA,patientdatabase,new,confirmed,2014-W06,NA
MOYAMBA,patientdatabase,new,probable,2014-W06,NA
PORT LOKO,situationreport,new,confirmed,2014-W06,NA
PORT LOKO,situationreport,new,probable,2014-W06,NA
PORT LOKO,patientdatabase,new,confirmed,2014-W06,NA
PORT LOKO,patientdatabase,new,probable,2014-W06,NA
PUJEHUN,situationreport,new,confirmed,2014-W06,NA
PUJEHUN,situationreport,new,probable,2014-W06,NA
PUJEHUN,patientdatabase,new,confirmed,2014-W06,NA
PUJEHUN,patientdatabase,new,probable,2014-W06,NA
TONKOLILI,situationreport,new,confirmed,2014-W06,NA
TONKOLILI,situationreport,new,probable,2014-W06,NA
TONKOLILI,patientdatabase,new,confirmed,2014-W06,NA
TONKOLILI,patientdatabase,new,probable,2014-W06,NA
WESTERN AREA RURAL,situationreport,new,confirmed,2014-W06,NA
WESTERN AREA RURAL,situationreport,new,probable,2014-W06,NA
WESTERN AREA RURAL,patientdatabase,new,confirmed,2014-W06,NA
WESTERN AREA RURAL,patientdatabase,new,probable,2014-W06,NA
WESTERN AREA URBAN,situationreport,new,confirmed,2014-W06,NA
WESTERN AREA URBAN,situationreport,new,probable,2014-W06,NA
WESTERN AREA URBAN,patientdatabase,new,confirmed,2014-W06,NA
WESTERN AREA URBAN,patientdatabase,new,probable,2014-W06,NA
BO,situationreport,new,confirmed,2014-W07,NA
BO,situationreport,new,probable,2014-W07,NA
BO,patientdatabase,new,confirmed,2014-W07,NA
BO,patientdatabase,new,probable,2014-W07,NA
BOMBALI,situationreport,new,confirmed,2014-W07,NA
BOMBALI,situationreport,new,probable,2014-W07,NA
BOMBALI,patientdatabase,new,confirmed,2014-W07,NA
BOMBALI,patientdatabase,new,probable,2014-W07,NA
BONTHE,situationreport,new,confirmed,2014-W07,NA
BONTHE,situationreport,new,probable,2014-W07,NA
BONTHE,patientdatabase,new,confirmed,2014-W07,NA
BONTHE,patientdatabase,new,probable,2014-W07,NA
KAILAHUN,situationreport,new,confirmed,2014-W07,NA
KAILAHUN,situationreport,new,probable,2014-W07,NA
KAILAHUN,patientdatabase,new,confirmed,2014-W07,NA
KAILAHUN,patientdatabase,new,probable,2014-W07,NA
KAMBIA,situationreport,new,confirmed,2014-W07,NA
KAMBIA,situationreport,new,probable,2014-W07,NA
KAMBIA,patientdatabase,new,confirmed,2014-W07,NA
KAMBIA,patientdatabase,new,probable,2014-W07,NA
KENEMA,situationreport,new,confirmed,2014-W07,NA
KENEMA,situationreport,new,probable,2014-W07,NA
KENEMA,patientdatabase,new,confirmed,2014-W07,NA
KENEMA,patientdatabase,new,probable,2014-W07,NA
KOINADUGU,situationreport,new,confirmed,2014-W07,NA
KOINADUGU,situationreport,new,probable,2014-W07,NA
KOINADUGU,patientdatabase,new,confirmed,2014-W07,NA
KOINADUGU,patientdatabase,new,probable,2014-W07,NA
KONO,situationreport,new,confirmed,2014-W07,NA
KONO,situationreport,new,probable,2014-W07,NA
KONO,patientdatabase,new,confirmed,2014-W07,NA
KONO,patientdatabase,new,probable,2014-W07,NA
MOYAMBA,situationreport,new,confirmed,2014-W07,NA
MOYAMBA,situationreport,new,probable,2014-W07,NA
MOYAMBA,patientdatabase,new,confirmed,2014-W07,NA
MOYAMBA,patientdatabase,new,probable,2014-W07,NA
PORT LOKO,situationreport,new,confirmed,2014-W07,NA
PORT LOKO,situationreport,new,probable,2014-W07,NA
PORT LOKO,patientdatabase,new,confirmed,2014-W07,NA
PORT LOKO,patientdatabase,new,probable,2014-W07,NA
PUJEHUN,situationreport,new,confirmed,2014-W07,NA
PUJEHUN,situationreport,new,probable,2014-W07,NA
PUJEHUN,patientdatabase,new,confirmed,2014-W07,NA
PUJEHUN,patientdatabase,new,probable,2014-W07,NA
TONKOLILI,situationreport,new,confirmed,2014-W07,NA
TONKOLILI,situationreport,new,probable,2014-W07,NA
TONKOLILI,patientdatabase,new,confirmed,2014-W07,NA
TONKOLILI,patientdatabase,new,probable,2014-W07,NA
WESTERN AREA RURAL,situationreport,new,confirmed,2014-W07,NA
WESTERN AREA RURAL,situationreport,new,probable,2014-W07,NA
WESTERN AREA RURAL,patientdatabase,new,confirmed,2014-W07,NA
WESTERN AREA RURAL,patientdatabase,new,probable,2014-W07,NA
WESTERN AREA URBAN,situationreport,new,confirmed,2014-W07,NA
WESTERN AREA URBAN,situationreport,new,probable,2014-W07,NA
WESTERN AREA URBAN,patientdatabase,new,confirmed,2014-W07,NA
WESTERN AREA URBAN,patientdatabase,new,probable,2014-W07,NA
BO,situationreport,new,confirmed,2014-W08,NA
BO,situationreport,new,probable,2014-W08,NA
BO,patientdatabase,new,confirmed,2014-W08,NA
BO,patientdatabase,new,probable,2014-W08,NA
BOMBALI,situationreport,new,confirmed,2014-W08,NA
BOMBALI,situationreport,new,probable,2014-W08,NA
BOMBALI,patientdatabase,new,confirmed,2014-W08,NA
BOMBALI,patientdatabase,new,probable,2014-W08,NA
BONTHE,situationreport,new,confirmed,2014-W08,NA
BONTHE,situationreport,new,probable,2014-W08,NA
BONTHE,patientdatabase,new,confirmed,2014-W08,NA
BONTHE,patientdatabase,new,probable,2014-W08,NA
KAILAHUN,situationreport,new,confirmed,2014-W08,NA
KAILAHUN,situationreport,new,probable,2014-W08,NA
KAILAHUN,patientdatabase,new,confirmed,2014-W08,NA
KAILAHUN,patientdatabase,new,probable,2014-W08,NA
KAMBIA,situationreport,new,confirmed,2014-W08,NA
KAMBIA,situationreport,new,probable,2014-W08,NA
KAMBIA,patientdatabase,new,confirmed,2014-W08,NA
KAMBIA,patientdatabase,new,probable,2014-W08,NA
KENEMA,situationreport,new,confirmed,2014-W08,NA
KENEMA,situationreport,new,probable,2014-W08,NA
KENEMA,patientdatabase,new,confirmed,2014-W08,NA
KENEMA,patientdatabase,new,probable,2014-W08,NA
KOINADUGU,situationreport,new,confirmed,2014-W08,NA
KOINADUGU,situationreport,new,probable,2014-W08,NA
KOINADUGU,patientdatabase,new,confirmed,2014-W08,NA
KOINADUGU,patientdatabase,new,probable,2014-W08,NA
KONO,situationreport,new,confirmed,2014-W08,NA
KONO,situationreport,new,probable,2014-W08,NA
KONO,patientdatabase,new,confirmed,2014-W08,NA
KONO,patientdatabase,new,probable,2014-W08,NA
MOYAMBA,situationreport,new,confirmed,2014-W08,NA
MOYAMBA,situationreport,new,probable,2014-W08,NA
MOYAMBA,patientdatabase,new,confirmed,2014-W08,NA
MOYAMBA,patientdatabase,new,probable,2014-W08,NA
PORT LOKO,situationreport,new,confirmed,2014-W08,NA
PORT LOKO,situationreport,new,probable,2014-W08,NA
PORT LOKO,patientdatabase,new,confirmed,2014-W08,NA
PORT LOKO,patientdatabase,new,probable,2014-W08,NA
PUJEHUN,situationreport,new,confirmed,2014-W08,NA
PUJEHUN,situationreport,new,probable,2014-W08,NA
PUJEHUN,patientdatabase,new,confirmed,2014-W08,NA
PUJEHUN,patientdatabase,new,probable,2014-W08,NA
TONKOLILI,situationreport,new,confirmed,2014-W08,NA
TONKOLILI,situationreport,new,probable,2014-W08,NA
TONKOLILI,patientdatabase,new,confirmed,2014-W08,NA
TONKOLILI,patientdatabase,new,probable,2014-W08,NA
WESTERN AREA RURAL,situationreport,new,confirmed,2014-W08,NA
WESTERN AREA RURAL,situationreport,new,probable,2014-W08,NA
WESTERN AREA RURAL,patientdatabase,new,confirmed,2014-W08,NA
WESTERN AREA RURAL,patientdatabase,new,probable,2014-W08,NA
WESTERN AREA URBAN,situationreport,new,confirmed,2014-W08,NA
WESTERN AREA URBAN,situationreport,new,probable,2014-W08,NA
WESTERN AREA URBAN,patientdatabase,new,confirmed,2014-W08,NA
WESTERN AREA URBAN,patientdatabase,new,probable,2014-W08,NA
BO,situationreport,new,confirmed,2014-W09,NA
BO,situationreport,new,probable,2014-W09,NA
BO,patientdatabase,new,confirmed,2014-W09,NA
BO,patientdatabase,new,probable,2014-W09,NA
BOMBALI,situationreport,new,confirmed,2014-W09,NA
BOMBALI,situationreport,new,probable,2014-W09,NA
BOMBALI,patientdatabase,new,confirmed,2014-W09,NA
BOMBALI,patientdatabase,new,probable,2014-W09,NA
BONTHE,situationreport,new,confirmed,2014-W09,NA
BONTHE,situationreport,new,probable,2014-W09,NA
BONTHE,patientdatabase,new,confirmed,2014-W09,NA
BONTHE,patientdatabase,new,probable,2014-W09,NA
KAILAHUN,situationreport,new,confirmed,2014-W09,NA
KAILAHUN,situationreport,new,probable,2014-W09,NA
KAILAHUN,patientdatabase,new,confirmed,2014-W09,NA
KAILAHUN,patientdatabase,new,probable,2014-W09,NA
KAMBIA,situationreport,new,confirmed,2014-W09,NA
KAMBIA,situationreport,new,probable,2014-W09,NA
KAMBIA,patientdatabase,new,confirmed,2014-W09,NA
KAMBIA,patientdatabase,new,probable,2014-W09,NA
KENEMA,situationreport,new,confirmed,2014-W09,NA
KENEMA,situationreport,new,probable,2014-W09,NA
KENEMA,patientdatabase,new,confirmed,2014-W09,NA
KENEMA,patientdatabase,new,probable,2014-W09,NA
KOINADUGU,situationreport,new,confirmed,2014-W09,NA
KOINADUGU,situationreport,new,probable,2014-W09,NA
KOINADUGU,patientdatabase,new,confirmed,2014-W09,NA
KOINADUGU,patientdatabase,new,probable,2014-W09,NA
KONO,situationreport,new,confirmed,2014-W09,NA
KONO,situationreport,new,probable,2014-W09,NA
KONO,patientdatabase,new,confirmed,2014-W09,NA
KONO,patientdatabase,new,probable,2014-W09,NA
MOYAMBA,situationreport,new,confirmed,2014-W09,NA
MOYAMBA,situationreport,new,probable,2014-W09,NA
MOYAMBA,patientdatabase,new,confirmed,2014-W09,NA
MOYAMBA,patientdatabase,new,probable,2014-W09,NA
PORT LOKO,situationreport,new,confirmed,2014-W09,NA
PORT LOKO,situationreport,new,probable,2014-W09,NA
PORT LOKO,patientdatabase,new,confirmed,2014-W09,NA
PORT LOKO,patientdatabase,new,probable,2014-W09,NA
