Date,Guinea,Liberia,Sierra Leone
2014-04-03,3,0,0
2014-04-04,0,0,2
2014-04-05,1,1,0
2014-04-06,6,2,1
2014-04-07,4,0,0
2014-04-08,9,0,0
2014-04-09,7,1,1
2014-04-10,5,1,1
2014-04-11,2,0,0
2014-04-12,2,0,1
2014-04-13,2,0,0
2014-04-14,3,0,0
2014-04-15,2,0,0
2014-04-16,0,0,0
2014-04-17,2,0,0
2014-04-18,4,0,0
2014-04-19,1,0,0
2014-04-20,0,0,0
2014-04-21,1,0,0
2014-04-22,2,0,1
2014-04-23,2,1,0
2014-04-24,1,0,0
2014-04-25,0,0,0
2014-04-26,3,0,0
2014-04-27,1,0,0
2014-04-28,0,0,0
2014-04-29,0,0,0
2014-04-30,0,0,1
2014-05-01,1,0,1
2014-05-02,4,0,0
2014-05-03,3,0,0
2014-05-04,1,0,0
2014-05-05,4,0,0
2014-05-06,2,0,2
2014-05-07,2,1,0
2014-05-08,4,0,1
2014-05-09,1,0,0
2014-05-10,2,1,1
2014-05-11,2,0,1
2014-05-12,1,0,0
2014-05-13,0,0,2
2014-05-14,3,1,0
2014-05-15,6,2,1
2014-05-16,3,1,0
2014-05-17,1,0,1
2014-05-18,6,0,0
2014-05-19,6,0,0
2014-05-20,5,1,1
2014-05-21,4,0,1
2014-05-22,4,1,2
2014-05-23,8,0,0
2014-05-24,1,1,3
2014-05-25,11,2,4
2014-05-26,5,0,7
2014-05-27,7,0,0
2014-05-28,7,1,1
2014-05-29,2,1,1
2014-05-30,1,0,6
2014-05-31,2,0,5
2014-06-01,3,0,9
2014-06-02,5,1,12
2014-06-03,8,0,5
2014-06-04,4,1,8
2014-06-05,7,2,6
2014-06-06,2,3,6
2014-06-07,2,2,0
2014-06-08,3,7,6
2014-06-09,10,6,4
2014-06-10,3,5,13
2014-06-11,3,4,11
2014-06-12,0,2,15
2014-06-13,1,4,9
2014-06-14,4,4,31
2014-06-15,2,9,3
2014-06-16,7,4,6
2014-06-17,4,4,20
2014-06-18,6,7,10
2014-06-19,11,7,9
2014-06-20,4,8,16
2014-06-21,4,6,5
2014-06-22,1,4,5
2014-06-23,2,4,6
2014-06-24,2,6,6
2014-06-25,2,8,13
2014-06-26,1,1,12
2014-06-27,1,2,14
2014-06-28,0,7,15
2014-06-29,0,4,10
2014-06-30,0,9,18
2014-07-01,2,10,23
2014-07-02,4,6,17
2014-07-03,2,1,7
2014-07-04,2,8,11
2014-07-05,2,5,15
2014-07-06,2,9,13
2014-07-07,3,14,19
2014-07-08,1,11,17
2014-07-09,2,9,10
2014-07-10,2,19,20
2014-07-11,0,11,14
2014-07-12,2,8,13
2014-07-13,1,12,11
2014-07-14,0,11,14
2014-07-15,3,16,17
2014-07-16,1,16,14
2014-07-17,5,10,13
2014-07-18,10,11,14
2014-07-19,2,23,14
2014-07-20,2,16,17
2014-07-21,5,9,21
2014-07-22,2,31,18
2014-07-23,7,14,12
2014-07-24,2,14,9
2014-07-25,2,31,16
2014-07-26,0,18,12
2014-07-27,2,41,19
2014-07-28,2,29,20
2014-07-29,1,23,25
2014-07-30,3,25,17
2014-07-31,2,28,19
2014-08-01,8,59,31
2014-08-02,6,65,33
2014-08-03,5,49,36
2014-08-04,1,67,30
2014-08-05,6,64,23
2014-08-06,2,66,19
2014-08-07,6,67,29
2014-08-08,3,61,28
2014-08-09,2,68,20
2014-08-10,10,73,18
2014-08-11,6,77,11
2014-08-12,18,51,28
2014-08-13,11,54,51
2014-08-14,10,67,30
2014-08-15,15,82,35
2014-08-16,9,74,25
2014-08-17,7,80,22
2014-08-18,10,74,26
2014-08-19,13,70,30
2014-08-20,32,73,43
2014-08-21,19,60,23
2014-08-22,8,59,24
2014-08-23,12,64,20
2014-08-24,8,70,30
2014-08-25,23,79,41
2014-08-26,19,70,39
2014-08-27,12,62,38
2014-08-28,17,122,35
2014-08-29,10,55,23
2014-08-30,7,63,24
2014-08-31,13,75,30
2014-09-01,28,111,44
2014-09-02,19,108,40
2014-09-03,15,75,54
2014-09-04,12,99,56
2014-09-05,11,89,42
2014-09-06,13,89,37
2014-09-07,11,62,44
2014-09-08,12,92,36
2014-09-09,19,111,41
2014-09-10,16,84,49
2014-09-11,8,77,32
2014-09-12,15,81,43
2014-09-13,10,73,55
2014-09-14,12,93,67
2014-09-15,10,88,68
2014-09-16,16,80,93
2014-09-17,12,94,85
2014-09-18,14,88,97
2014-09-19,13,95,93
2014-09-20,21,80,104
2014-09-21,11,72,63
2014-09-22,15,53,47
2014-09-23,15,55,48
2014-09-24,13,41,65
2014-09-25,15,46,59
2014-09-26,11,81,60
2014-09-27,13,84,48
2014-09-28,16,73,61
2014-09-29,17,59,58
2014-09-30,20,92,86
2014-10-01,30,139,71
2014-10-02,16,110,93
2014-10-03,21,110,87
2014-10-04,23,96,95
2014-10-05,14,58,90
2014-10-06,19,30,88
2014-10-07,12,55,82
2014-10-08,19,52,70
2014-10-09,15,33,78
2014-10-10,21,51,151
2014-10-11,17,27,84
2014-10-12,19,45,75
2014-10-13,17,43,61
2014-10-14,13,53,77
2014-10-15,14,47,101
2014-10-16,9,28,93
2014-10-17,15,33,99
2014-10-18,13,24,91
2014-10-19,12,33,116
2014-10-20,10,33,142
2014-10-21,11,25,89
2014-10-22,16,24,100
2014-10-23,15,25,100
2014-10-24,8,33,122
2014-10-25,8,18,148
2014-10-26,18,16,131
2014-10-27,16,26,112
2014-10-28,14,29,116
2014-10-29,24,36,120
2014-10-30,17,33,129
2014-10-31,27,13,85
2014-11-01,29,34,125
2014-11-02,42,24,133
2014-11-03,26,31,117
2014-11-04,17,17,124
2014-11-05,16,15,108
2014-11-06,7,24,118
2014-11-07,7,21,118
2014-11-08,14,29,114
2014-11-09,15,31,92
2014-11-10,20,27,155
2014-11-11,18,17,117
2014-11-12,15,33,101
2014-11-13,34,27,102
2014-11-14,14,20,126
2014-11-15,18,25,119
2014-11-16,21,23,93
2014-11-17,24,19,83
2014-11-18,27,22,122
2014-11-19,11,20,114
2014-11-20,21,23,122
2014-11-21,10,17,88
2014-11-22,11,18,111
2014-11-23,13,29,130
2014-11-24,8,13,113
2014-11-25,17,12,115
2014-11-26,7,11,111
2014-11-27,14,13,119
2014-11-28,23,27,73
2014-11-29,8,8,76
2014-11-30,17,10,101
2014-12-01,26,12,100
2014-12-02,23,3,106
2014-12-03,26,11,85
2014-12-04,11,8,84
2014-12-05,13,9,94
2014-12-06,14,2,99
2014-12-07,20,5,89
2014-12-08,9,7,89
2014-12-09,13,3,131
2014-12-10,21,2,147
2014-12-11,13,0,69
2014-12-12,32,3,140
2014-12-13,30,3,84
2014-12-14,24,3,95
2014-12-15,22,1,104
2014-12-16,17,0,106
2014-12-17,17,0,91
2014-12-18,31,1,111
2014-12-19,27,0,112
2014-12-20,22,0,137
2014-12-21,14,0,102
2014-12-22,20,1,87
2014-12-23,18,0,109
2014-12-24,8,1,107
2014-12-25,5,0,91
2014-12-26,15,0,102
2014-12-27,14,0,92
2014-12-28,7,0,102
2014-12-29,6,0,84
2014-12-30,10,0,74
2014-12-31,3,0,77
2015-01-01,9,1,92
2015-01-02,6,16,73
2015-01-03,8,35,71
2015-01-04,10,0,85
2015-01-05,10,0,100
2015-01-06,3,23,74
2015-01-07,9,16,92
2015-01-08,5,2,47
2015-01-09,2,0,65
2015-01-10,3,0,72
2015-01-11,2,0,52
2015-01-12,5,0,52
2015-01-13,4,0,57
2015-01-14,3,12,54
2015-01-15,9,2,57
2015-01-16,6,1,48
2015-01-17,9,3,59
2015-01-18,9,0,50
2015-01-19,5,0,46
2015-01-20,8,0,69
2015-01-21,2,0,48
2015-01-22,6,0,61
2015-01-23,7,0,48
2015-01-24,4,0,48
2015-01-25,8,0,48
2015-01-26,5,0,55
2015-01-27,4,0,54
2015-01-28,15,0,48
2015-01-29,11,0,40
2015-01-30,13,0,41
2015-01-31,14,0,43
2015-02-01,10,0,42
2015-02-02,15,0,57
2015-02-03,8,0,48
2015-02-04,12,0,53
2015-02-05,8,0,49
2015-02-06,9,0,47
2015-02-07,4,0,51
2015-02-08,5,0,49
2015-02-09,5,0,42
2015-02-10,5,0,63
2015-02-11,4,0,38
2015-02-12,6,0,38
2015-02-13,10,0,56
2015-02-14,4,0,42
2015-02-15,5,0,52
2015-02-16,7,0,40
2015-02-17,2,0,59
2015-02-18,6,0,50
2015-02-19,7,0,51
2015-02-20,5,0,56
2015-02-21,7,0,38
2015-02-22,8,0,29
2015-02-23,15,0,27
2015-02-24,4,0,37
2015-02-25,9,0,33
2015-02-26,5,0,45
2015-02-27,9,0,45
2015-02-28,12,0,35
2015-03-01,10,0,59
2015-03-02,8,0,51
2015-03-03,5,0,54
2015-03-04,7,0,53
2015-03-05,12,0,73
2015-03-06,6,0,42
2015-03-07,20,0,38
2015-03-08,10,0,49
2015-03-09,17,0,47
2015-03-10,11,0,62
2015-03-11,8,0,50
2015-03-12,11,0,24
2015-03-13,8,0,42
2015-03-14,3,0,28
2015-03-15,12,0,41
2015-03-16,3,0,30
2015-03-17,6,0,42
2015-03-18,9,0,46
2015-03-19,10,0,43
2015-03-20,4,0,60
2015-03-21,7,0,30
2015-03-22,13,0,28
2015-03-23,13,0,36
2015-03-24,4,0,42
2015-03-25,6,0,34
2015-03-26,5,0,37
2015-03-27,5,0,38
2015-03-28,1,0,31
2015-03-29,3,0,29
2015-03-30,5,0,17
2015-03-31,2,0,22
2015-04-01,4,0,28
2015-04-02,1,0,24
2015-04-03,8,0,23
2015-04-04,4,0,26
2015-04-05,1,0,21
2015-04-06,2,0,24
2015-04-07,5,0,20
2015-04-08,2,0,26
2015-04-09,5,0,26
2015-04-10,10,0,25
2015-04-11,2,0,19
2015-04-12,1,0,23
2015-04-13,1,0,16
2015-04-14,0,0,25
2015-04-15,6,0,19
2015-04-16,3,0,17
2015-04-17,3,0,30
2015-04-18,4,0,21
2015-04-19,4,0,27
2015-04-20,1,0,48
2015-04-21,5,0,18
2015-04-22,2,0,37
2015-04-23,1,0,27
2015-04-24,2,0,27
2015-04-25,2,0,23
2015-04-26,0,0,29
2015-04-27,2,0,18
2015-04-28,0,0,25
2015-04-29,0,0,29
2015-04-30,5,0,21
2015-05-01,0,0,28
2015-05-02,0,0,23
2015-05-03,0,0,26
2015-05-04,5,0,28
2015-05-05,1,0,20
2015-05-06,3,0,19
2015-05-07,4,0,25
2015-05-08,3,0,27
2015-05-09,6,0,20
2015-05-10,4,0,27
2015-05-11,3,0,21
2015-05-12,1,0,19
2015-05-13,0,0,23
2015-05-14,3,0,26
2015-05-15,2,0,39
2015-05-16,2,0,29
2015-05-17,0,0,35
2015-05-18,2,0,22
2015-05-19,2,0,31
2015-05-20,0,0,57
2015-05-21,1,0,35
2015-05-22,2,0,21
2015-05-23,3,0,26
2015-05-24,2,0,25
2015-05-25,1,0,28
2015-05-26,1,0,46
2015-05-27,2,0,58
2015-05-28,1,0,32
2015-05-29,0,0,16
2015-05-30,0,0,22
2015-05-31,2,0,16
2015-06-01,3,0,26
2015-06-02,1,0,24
2015-06-03,5,0,38
2015-06-04,3,0,41
2015-06-05,5,0,48
2015-06-06,1,0,61
2015-06-07,0,0,27
2015-06-08,0,0,22
2015-06-09,1,0,29
2015-06-10,5,0,38
2015-06-11,1,0,37
2015-06-12,1,0,26
2015-06-13,2,0,35
2015-06-14,1,0,28
2015-06-15,2,0,41
2015-06-16,8,0,22
2015-06-17,2,0,20
2015-06-18,2,0,29
2015-06-19,3,0,42
2015-06-20,0,0,54
2015-06-21,2,0,33
2015-06-22,2,0,19
2015-06-23,0,0,19
2015-06-24,2,0,30
2015-06-25,1,0,12
2015-06-26,5,0,15
2015-06-27,3,0,14
2015-06-28,2,0,17
2015-06-29,4,0,12
2015-06-30,1,0,12
2015-07-01,4,0,22
2015-07-02,3,0,17
2015-07-03,1,0,19
2015-07-04,0,0,19
2015-07-05,0,0,18
2015-07-06,1,0,15
2015-07-07,2,0,23
2015-07-08,2,0,15
2015-07-09,2,0,25
2015-07-10,4,0,21
2015-07-11,3,0,18
2015-07-12,2,0,26
2015-07-13,3,0,21
2015-07-14,4,0,25
2015-07-15,4,0,29
2015-07-16,1,0,22
2015-07-17,0,0,20
2015-07-18,0,0,25
2015-07-19,1,0,16
2015-07-20,1,0,39
2015-07-21,0,0,32
2015-07-22,0,0,26
2015-07-23,0,0,32
2015-07-24,0,0,20
2015-07-25,1,0,33
2015-07-26,1,0,21
2015-07-27,1,0,33
2015-07-28,0,0,23
2015-07-29,0,0,22
2015-07-30,0,0,36
2015-07-31,1,0,21
2015-08-01,0,0,22
2015-08-02,0,0,16
2015-08-03,0,0,14
2015-08-04,0,0,25
2015-08-05,0,0,24
2015-08-06,0,0,27
2015-08-07,0,0,28
2015-08-08,0,0,21
2015-08-09,0,0,28
2015-08-10,2,0,40
2015-08-11,0,0,22
2015-08-12,2,0,20
2015-08-13,2,0,21
2015-08-14,0,0,22
2015-08-15,0,0,28
2015-08-16,0,0,26
2015-08-17,0,0,18
2015-08-18,0,0,15
2015-08-19,0,0,25
2015-08-20,1,0,30
2015-08-21,1,0,19
2015-08-22,0,0,7
2015-08-23,0,0,4
2015-08-24,0,0,0
2015-08-25,0,0,0
2015-08-26,0,0,0
2015-08-27,1,0,0
2015-08-28,0,0,0
2015-08-29,0,0,0
2015-08-30,0,0,0
2015-08-31,1,0,0
2015-09-01,0,0,0
2015-09-02,0,0,0
2015-09-03,0,0,0
2015-09-04,0,0,0
2015-09-05,0,0,0
2015-09-06,0,0,0
2015-09-07,0,0,0
2015-09-08,0,0,0
2015-09-09,0,0,0
2015-09-10,1,0,0
2015-09-11,0,0,0
2015-09-12,0,0,0
2015-09-13,0,0,0
2015-09-14,0,0,0
2015-09-15,0,0,0
2015-09-16,0,0,0
2015-09-17,0,0,0
2015-09-18,0,0,0
2015-09-19,1,0,0
2015-09-20,0,0,0
2015-09-21,0,0,0
2015-09-22,1,0,0
2015-09-23,3,0,0
2015-09-24,2,0,0
2015-09-25,6,0,0
