Location; Ebola data source; Indicator type; Case definition,Sierra Leone; 30 December 2013 to 05 January 2014 (2014-W01),Sierra Leone; 06 to 12 January 2014 (2014-W02),Sierra Leone; 13 to 19 January 2014 (2014-W03),Sierra Leone; 20 to 26 January 2014 (2014-W04),Sierra Leone; 27 January to 02 February 2014 (2014-W05),Sierra Leone; 03 to 09 February 2014 (2014-W06),Sierra Leone; 10 to 16 February 2014 (2014-W07),Sierra Leone; 17 to 23 February 2014 (2014-W08),Sierra Leone; 24 February to 02 March 2014 (2014-W09),Sierra Leone; 03 to 09 March 2014 (2014-W10),Sierra Leone; 10 to 16 March 2014 (2014-W11),Sierra Leone; 17 to 23 March 2014 (2014-W12),Sierra Leone; 24 to 30 March 2014 (2014-W13),Sierra Leone; 31 March to 06 April 2014 (2014-W14),Sierra Leone; 07 to 13 April 2014 (2014-W15),Sierra Leone; 14 to 20 April 2014 (2014-W16),Sierra Leone; 21 to 27 April 2014 (2014-W17),Sierra Leone; 28 April to 04 May 2014 (2014-W18),Sierra Leone; 05 to 11 May 2014 (2014-W19),Sierra Leone; 12 to 18 May 2014 (2014-W20),Sierra Leone; 19 to 25 May 2014 (2014-W21),Sierra Leone; 26 May to 01 June 2014 (2014-W22),Sierra Leone; 02 to 08 June 2014 (2014-W23),Sierra Leone; 09 to 15 June 2014 (2014-W24),Sierra Leone; 16 to 22 June 2014 (2014-W25),Sierra Leone; 23 to 29 June 2014 (2014-W26),Sierra Leone; 30 June to 06 July 2014 (2014-W27),Sierra Leone; 07 to 13 July 2014 (2014-W28),Sierra Leone; 14 to 20 July 2014 (2014-W29),Sierra Leone; 21 to 27 July 2014 (2014-W30),Sierra Leone; 28 July to 03 August 2014 (2014-W31),Sierra Leone; 04 to 10 August 2014 (2014-W32),Sierra Leone; 11 to 17 August 2014 (2014-W33),Sierra Leone; 18 to 24 August 2014 (2014-W34),Sierra Leone; 25 to 31 August 2014 (2014-W35),Sierra Leone; 01 to 07 September 2014 (2014-W36),Sierra Leone; 08 to 14 September 2014 (2014-W37),Sierra Leone; 15 to 21 September 2014 (2014-W38),Sierra Leone; 22 to 28 September 2014 (2014-W39),Sierra Leone; 29 September to 05 October 2014 (2014-W40),Sierra Leone; 06 to 12 October 2014 (2014-W41),Sierra Leone; 13 to 19 October 2014 (2014-W42),Sierra Leone; 20 to 26 October 2014 (2014-W43),Sierra Leone; 27 October to 02 November 2014 (2014-W44),Sierra Leone; 27 October to 09 November 2014 (2014-W45),Sierra Leone; 10 to 16 November 2014 (2014-W46),Sierra Leone; 17 to 23 November 2014 (2014-W47),Sierra Leone; 24 to 30 November 2014 (2014-W48),Sierra Leone; 01 to 07 December 2014 (2014-W49),Sierra Leone; 08 to 14 December 2014 (2014-W50),Sierra Leone; 15 to 21 December 2014 (2014-W51),Sierra Leone; 22 to 28 December 2014 (2014-W52)
BO; Situation report; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,16,18,21,14,15,12,33,14,23,14,24,2,6
KAMBIA; Patient database; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,8,4,4,3,2,15,7,5,9,10,11,11,4,
KAMBIA; Patient database; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,3,1,1,
KENEMA; Situation report; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,5,13,26,13,10,0,0,1,0,0,1,1,0
KENEMA; Situation report; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KENEMA; Patient database; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,1,1,19,16,32,22,31,46,42,45,51,46,23,28,22,6,10,7,22,18,8,10,2,2,1,1,,10,,
KENEMA; Patient database; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,1,,,,,1,2,,,,,,,,,,,,,
KOINADUGU; Situation report; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,11,10,25,25,5,6,2,3,1,7
KOINADUGU; Situation report; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOINADUGU; Patient database; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,5,11,20,31,35,17,2,8,1,2,,
KOINADUGU; Patient database; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,4,3,1,,1,1,1,,
KONO; Situation report; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,7,6,3,4,1,7,12,16,15,24,12,13,39
KONO; Situation report; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KONO; Patient database; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,3,8,5,3,5,8,6,3,6,2,6,21,7,19,9,21,3,
KONO; Patient database; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,12,9,,1,,,1,,,,,
MOYAMBA; Situation report; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,13,13,9,10,8,3,41,10,10,3,10,3,5,5
MOYAMBA; Situation report; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOYAMBA; Patient database; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,5,6,5,3,,13,3,65,14,10,6,8,7,6,39,13,6,,1,,,
MOYAMBA; Patient database; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,1,,2,5,2,1,2,,,,
PORT LOKO; Situation report; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,83,53,55,46,53,64,56,95,72,94,76,56,92,69
PORT LOKO; Situation report; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0
PORT LOKO; Patient database; New; Confirmed,,,,,,,,,,,,,,,,,,,1,,,,3,1,,,,2,,1,6,13,17,29,26,33,50,67,106,42,80,61,58,62,76,90,73,87,53,74,22,
PORT LOKO; Patient database; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,6,8,10,3,6,5,10,25,46,78,92,79,33,46,14,14,25,5,
PUJEHUN; Situation report; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,5,0,1,1,2,0,0,2,1,0,0,0,0
PUJEHUN; Situation report; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUJEHUN; Patient database; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,4,,3,,3,6,3,,1,1,1,,,,,,,,
PUJEHUN; Patient database; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,3,3,,,,,,,,,
TONKOLILI; Situation report; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,18,26,27,21,37,30,56,29,31,40,13,14,14,13
TONKOLILI; Situation report; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TONKOLILI; Patient database; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,3,4,5,16,22,55,16,38,32,25,58,30,26,30,9,14,8,
TONKOLILI; Patient database; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,4,3,3,19,4,19,22,11,2,1,3,1,,6,,,7,
WESTERN AREA RURAL; Situation report; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,64,52,65,72,102,75,69,102,55,72,57,52,31,22
WESTERN AREA RURAL; Situation report; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WESTERN AREA RURAL; Patient database; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,1,2,4,1,6,16,29,17,21,21,58,46,66,50,90,85,90,49,57,59,97,35,13,,
WESTERN AREA RURAL; Patient database; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,2,1,2,3,4,17,10,22,31,19,31,13,,
WESTERN AREA URBAN; Situation report; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,53,76,77,98,90,115,77,168,118,202,133,125,115,149
WESTERN AREA URBAN; Situation report; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
WESTERN AREA URBAN; Patient database; New; Confirmed,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,2,,1,,2,4,9,22,25,35,64,42,59,75,65,82,113,90,107,97,187,95,25,1,
WESTERN AREA URBAN; Patient database; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,,4,3,8,9,16,32,33,41,30,30,,
