Location; Ebola data source; Indicator type; Case definition,Sierra Leone; 30 December 2013 to 05 January 2014 (2014-W01),Sierra Leone; 06 to 12 January 2014 (2014-W02),Sierra Leone; 13 to 19 January 2014 (2014-W03),Sierra Leone; 20 to 26 January 2014 (2014-W04),Sierra Leone; 27 January to 02 February 2014 (2014-W05),Sierra Leone; 03 to 09 February 2014 (2014-W06),Sierra Leone; 10 to 16 February 2014 (2014-W07),Sierra Leone; 17 to 23 February 2014 (2014-W08),Sierra Leone; 24 February to 02 March 2014 (2014-W09),Sierra Leone; 03 to 09 March 2014 (2014-W10),Sierra Leone; 10 to 16 March 2014 (2014-W11),Sierra Leone; 17 to 23 March 2014 (2014-W12),Sierra Leone; 24 to 30 March 2014 (2014-W13),Sierra Leone; 31 March to 06 April 2014 (2014-W14),Sierra Leone; 07 to 13 April 2014 (2014-W15),Sierra Leone; 14 to 20 April 2014 (2014-W16),Sierra Leone; 21 to 27 April 2014 (2014-W17),Sierra Leone; 28 April to 04 May 2014 (2014-W18),Sierra Leone; 05 to 11 May 2014 (2014-W19),Sierra Leone; 12 to 18 May 2014 (2014-W20),Sierra Leone; 19 to 25 May 2014 (2014-W21),Sierra Leone; 26 May to 01 June 2014 (2014-W22),Sierra Leone; 02 to 08 June 2014 (2014-W23),Sierra Leone; 09 to 15 June 2014 (2014-W24),Sierra Leone; 16 to 22 June 2014 (2014-W25),Sierra Leone; 23 to 29 June 2014 (2014-W26),Sierra Leone; 30 June to 06 July 2014 (2014-W27),Sierra Leone; 07 to 13 July 2014 (2014-W28),Sierra Leone; 14 to 20 July 2014 (2014-W29),Sierra Leone; 21 to 27 July 2014 (2014-W30),Sierra Leone; 28 July to 03 August 2014 (2014-W31),Sierra Leone; 04 to 10 August 2014 (2014-W32),Sierra Leone; 11 to 17 August 2014 (2014-W33),Sierra Leone; 18 to 24 August 2014 (2014-W34),Sierra Leone; 25 to 31 August 2014 (2014-W35),Sierra Leone; 01 to 07 September 2014 (2014-W36),Sierra Leone; 08 to 14 September 2014 (2014-W37),Sierra Leone; 15 to 21 September 2014 (2014-W38),Sierra Leone; 22 to 28 September 2014 (2014-W39),Sierra Leone; 29 September to 05 October 2014 (2014-W40),Sierra Leone; 06 to 12 October 2014 (2014-W41),Sierra Leone; 13 to 19 October 2014 (2014-W42),Sierra Leone; 20 to 26 October 2014 (2014-W43),Sierra Leone; 27 October to 02 November 2014 (2014-W44),Sierra Leone; 27 October to 09 November 2014 (2014-W45),Sierra Leone; 10 to 16 November 2014 (2014-W46),Sierra Leone; 17 to 23 November 2014 (2014-W47),Sierra Leone; 24 to 30 November 2014 (2014-W48),Sierra Leone; 01 to 07 December 2014 (2014-W49),Sierra Leone; 08 to 14 December 2014 (2014-W50),Sierra Leone; 15 to 21 December 2014 (2014-W51),Sierra Leone; 22 to 28 December 2014 (2014-W52),Sierra Leone; 29 December 2014 to 04 January 2015 (2015-W01),Sierra Leone; 05 to 11 January 2015 (2015-W02),Sierra Leone; 12 to 18 January 2015 (2015-W03),Sierra Leone; 19 to 25 January 2015 (2015-W04),Sierra Leone; 26 January to 01 February 2015 (2015-W05),Sierra Leone; 02 to 08 February 2015 (2015-W06),Sierra Leone; 09 to 15 February 2015 (2015-W07),Sierra Leone; 16 to 22 February 2015 (2015-W08),Sierra Leone; 23 February to 01 March 2015 (2015-W09),Sierra Leone; 02 to 08 March 2015 (2015-W10),Sierra Leone; 09 to 15 March 2015 (2015-W11),Sierra Leone; 16 to 22 March 2015 (2015-W12),Sierra Leone; 23 to 29 March 2015 (2015-W13),Sierra Leone; 30 March to 05 April 2015 (2015-W14),Sierra Leone; 06 to 12 April 2015 (2015-W15),Sierra Leone; 13 to 19 April 2015 (2015-W16),Sierra Leone; 20 to 26 April 2015 (2015-W17),Sierra Leone; 27 April to 03 May 2015 (2015-W18)
BO; Situation report; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,16,18,21,14,15,12,33,14,23,14,24,2,6,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAMBIA; Situation report; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,7,4,2,4,16,6,5,5,14,10,11,7,5,6,17,8,10,1,11,7,8,6,7,4,8,5,2,4,4,8,5
KAMBIA; Situation report; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAMBIA; Patient database; New; Confirmed,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,8,3,3,4,4,16,8,4,10,10,13,11,8,11,10,21,8,11,7,9,8,10,1,10,3,8,0,0,0,0,0,0
KAMBIA; Patient database; New; Probable,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0
KENEMA; Situation report; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,5,13,26,13,10,0,0,1,0,0,1,1,0,1,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0
KENEMA; Situation report; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KENEMA; Patient database; New; Confirmed,,,,,,,,,,,,,,,,,,,,,0,0,1,1,19,17,32,23,31,46,42,45,51,46,24,29,25,6,10,7,22,18,8,12,1,0,2,1,0,4,2,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0
KENEMA; Patient database; New; Probable,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
KOINADUGU; Situation report; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,11,10,25,25,5,6,2,3,1,7,5,1,0,0,1,0,1,0,1,0,2,0,0,0,0,1,0,0
KOINADUGU; Situation report; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOINADUGU; Patient database; New; Confirmed,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,8,23,31,35,17,2,9,1,2,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOINADUGU; Patient database; New; Probable,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KONO; Situation report; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,7,6,3,4,1,7,12,16,15,24,12,13,39,32,14,13,1,5,5,0,1,1,0,0,0,0,0,0,0,0,0
KONO; Situation report; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KONO; Patient database; New; Confirmed,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2,0,0,0,2,0,0,0,3,8,5,4,5,8,6,3,6,3,12,30,27,29,20,48,20,68,44,28,5,6,5,2,0,1,1,0,0,0,0,0,0,0,0,0
KONO; Patient database; New; Probable,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,9,0,2,0,0,1,4,11,5,2,20,19,8,11,3,6,11,0,7,2,0,2,0,0,0,0,0,0,0
MOYAMBA; Situation report; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,13,13,9,10,8,3,41,10,10,3,10,3,5,5,11,4,4,0,3,2,0,1,0,0,0,1,0,0,0,0,0,0
MOYAMBA; Situation report; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOYAMBA; Patient database; New; Confirmed,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,4,6,6,5,3,0,13,3,65,14,10,6,8,8,6,44,14,7,1,13,4,5,1,13,4,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
MOYAMBA; Patient database; New; Probable,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,6,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
PORT LOKO; Situation report; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,83,53,55,46,53,64,56,95,72,94,76,56,92,69,41,41,31,6,36,28,13,15,16,12,11,6,6,1,1,1,0,0
PORT LOKO; Situation report; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PORT LOKO; Patient database; New; Confirmed,,,,,,,,,,,,,,,,,,,,,0,0,3,1,0,0,0,2,0,1,6,13,17,32,27,32,53,69,105,42,81,62,61,65,78,89,78,88,54,78,77,55,54,35,33,13,30,33,10,20,17,12,11,11,2,1,0,0,0,0
PORT LOKO; Patient database; New; Probable,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,3,2,6,8,11,4,6,5,10,25,46,76,91,76,33,46,13,14,20,7,26,1,13,11,4,11,7,4,1,1,1,4,0,1,1,0,0,0,0
PUJEHUN; Situation report; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,5,0,1,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUJEHUN; Situation report; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUJEHUN; Patient database; New; Confirmed,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,3,0,3,6,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUJEHUN; Patient database; New; Probable,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TONKOLILI; Situation report; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,18,26,27,21,37,30,56,29,31,40,13,14,14,13,3,9,3,6,1,0,4,0,1,0,0,0,0,0,0,0,0,0
TONKOLILI; Situation report; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TONKOLILI; Patient database; New; Confirmed,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,7,6,15,27,61,20,42,36,29,61,31,27,33,8,16,22,18,4,15,3,5,0,2,3,0,1,0,0,0,0,0,0,0,0,0
TONKOLILI; Patient database; New; Probable,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,2,3,19,4,19,21,11,2,1,3,1,0,7,1,0,3,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WESTERN AREA RURAL; Situation report; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,64,52,65,72,102,75,69,102,55,72,57,52,31,22,50,31,17,16,7,8,4,3,8,6,3,4,3,1,0,0,2,0
WESTERN AREA RURAL; Situation report; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WESTERN AREA RURAL; Patient database; New; Confirmed,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,1,0,1,3,10,24,15,20,27,59,57,59,59,112,108,99,65,60,65,107,56,37,27,37,62,47,14,15,6,11,16,2,6,7,1,6,6,0,0,1,0,0
WESTERN AREA RURAL; Patient database; New; Probable,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,2,1,2,2,4,13,10,20,28,17,21,9,10,7,10,6,0,6,5,2,4,3,4,10,6,4,6,1,0,0,0,0
WESTERN AREA URBAN; Situation report; New; Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,53,76,77,98,90,115,77,168,118,202,133,125,115,149,93,59,30,20,22,19,67,14,26,27,29,13,10,5,4,6,1,4
WESTERN AREA URBAN; Situation report; New; Probable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WESTERN AREA URBAN; Patient database; New; Confirmed,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,2,1,5,0,6,9,13,27,33,35,63,44,58,87,87,113,145,104,123,116,203,131,122,149,172,119,99,40,41,20,24,53,22,27,44,14,6,7,2,0,1,0,0
WESTERN AREA URBAN; Patient database; New; Probable,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,0,2,2,8,4,17,32,31,36,29,28,39,37,21,22,28,15,13,8,12,8,7,9,12,8,7,4,3,0,0,0
